idno,cntry,age,gndr,hincfel,vote,eisced,w4gq1,w4hq1,w4dq1,w4eq1,w4hq3,w4gq6,w4dq3,w4eq3,w4hq6,w4gq10_b,w4dq4_3,w4eq7,w4hq9,w4gq12_a,w4dq10,w4eq10,w4hq11,w4gq13_b,w4dq12,w4eq12,w4hq14,w4gq14_b,w4dq13_6,w4eq14,w4hq17,w4gq16_a,w4dq15,w4eq17,w4hq20,w4gq17_b
90004,GB,55,2,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10265,HU,39,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13667,IS,27,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15208,IS,46,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16040,IS,46,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22797,IS,63,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23330,IS,57,1,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23477,IS,62,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24514,IS,43,1,1,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25744,IS,46,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26812,IS,64,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51256,PT,42,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58285,PT,41,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62264,PT,58,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68754,PT,43,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69427,PT,76,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72905,PT,26,2,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75088,PT,71,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10251,SI,55,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10855,SI,56,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12385,SI,59,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13319,SI,45,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13573,SI,60,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17639,SI,34,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17682,SI,53,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18298,SI,30,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20535,SI,84,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23623,SI,58,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23752,SI,40,2,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24875,SI,69,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27569,SI,52,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56388,AT,52,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59605,AT,82,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59634,AT,50,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60845,AT,64,2,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68152,AT,75,2,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69499,AT,36,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59699,BE,68,1,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60297,BE,30,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62319,BE,45,1,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
