demographic,domain,feature_idx,mean_diff,cohens_d,p_value,p_corrected,significant,large_effect,sign_agreement,cv,outlier_ratio,is_noisy,feature_significant,selection_method,layer
income,climate,6373,0.24454165995121002,0.472433865070343,1.9636640200205256e-133,2.0167360205616207e-133,True,True,0.9643333333333334,2.1166982650756836,0.0,False,True,significant,5
income,climate,15565,0.2241666615009308,0.5565562844276428,5.011753721193218e-178,5.29018448348173e-178,True,True,0.833,1.7967634201049805,0.07266666666666667,False,True,significant,5
income,climate,9271,0.21175000071525574,3.3985681533813477,0.0,0.0,True,True,0.9996666666666667,0.2942415773868561,0.0016666666666666668,False,True,significant,5
income,climate,15501,0.13972917199134827,0.3635596036911011,5.7488127667882676e-83,5.7488127667882676e-83,True,True,0.8966666666666666,2.7505805492401123,0.056,False,True,significant,5
income,climate,2659,-0.1211666688323021,-3.6626198291778564,0.0,0.0,True,True,0.9996666666666667,0.2730286121368408,0.0006666666666666666,False,True,significant,5
income,climate,2676,0.10663541406393051,4.089598178863525,0.0,0.0,True,True,1.0,0.2445228099822998,0.0033333333333333335,False,True,significant,5
income,climate,7205,0.1002604141831398,2.765355348587036,0.0,0.0,True,True,0.9913333333333333,0.36161717772483826,0.003,False,True,significant,5
income,climate,13487,0.08838541805744171,2.892923593521118,0.0,0.0,True,True,0.995,0.3456710875034332,0.004666666666666667,False,True,significant,5
income,climate,5551,0.08580208569765091,2.443401575088501,0.0,0.0,True,True,0.988,0.40926551818847656,0.0013333333333333333,False,True,significant,5
income,climate,9577,0.07569791376590729,1.8919978141784668,0.0,0.0,True,True,0.9326666666666666,0.5285418033599854,0.003,False,True,significant,5
income,climate,11580,0.07359375059604645,2.516274929046631,0.0,0.0,True,True,0.982,0.39741283655166626,0.0006666666666666666,False,True,significant,5
income,climate,13870,-0.07018750160932541,-1.9345282316207886,0.0,0.0,True,True,0.943,0.516921877861023,0.0003333333333333333,False,True,significant,5
income,climate,7203,-0.06911978870630264,-2.2336792945861816,0.0,0.0,True,True,0.9543333333333334,0.4476918578147888,0.0026666666666666666,False,True,significant,5
income,climate,9703,-0.0638749971985817,-2.006493330001831,0.0,0.0,True,True,0.9406666666666667,0.49838191270828247,0.0006666666666666666,False,True,significant,5
income,climate,1212,0.06057291850447655,2.052138566970825,0.0,0.0,True,True,0.9486666666666667,0.48729655146598816,0.0036666666666666666,False,True,significant,5
income,climate,3478,0.04831250011920929,1.2132459878921509,0.0,0.0,True,True,0.798,0.8242351412773132,0.001,False,True,significant,5
income,climate,1844,-0.04711458459496498,-1.2492823600769043,0.0,0.0,True,True,0.7916666666666666,0.8004595637321472,0.0,False,True,significant,5
income,climate,11938,0.04702604189515114,1.7332314252853394,0.0,0.0,True,True,0.925,0.5769569873809814,0.0016666666666666668,False,True,significant,5
income,climate,9625,0.04663020744919777,1.936802625656128,0.0,0.0,True,True,0.9573333333333334,0.5163148641586304,0.0013333333333333333,False,True,significant,5
income,climate,10952,-0.04455208405852318,-1.7683110237121582,0.0,0.0,True,True,0.8873333333333333,0.5655113458633423,0.006666666666666667,False,True,significant,5
income,climate,16288,-0.04104166850447655,-1.719529151916504,0.0,0.0,True,True,0.8756666666666667,0.5815545320510864,0.005333333333333333,False,True,significant,5
income,climate,3958,0.03965885564684868,1.532618761062622,0.0,0.0,True,True,0.839,0.6524779796600342,0.002,False,True,significant,5
income,climate,8377,0.03564583510160446,1.168748378753662,0.0,0.0,True,True,0.7583333333333333,0.8556161522865295,0.0013333333333333333,False,True,significant,5
income,climate,4918,0.035374999046325684,0.7972801923751831,7e-323,8e-323,True,True,0.6796666666666666,1.2542641162872314,0.002,False,True,significant,5
income,climate,14240,-0.03492708504199982,-0.8521180152893066,0.0,0.0,True,True,0.795,1.173546314239502,0.012333333333333333,False,True,significant,5
income,climate,1633,-0.031197916716337204,-1.0164613723754883,0.0,0.0,True,True,0.6923333333333334,0.9838051795959473,0.006666666666666667,False,True,significant,5
income,climate,346,-0.030695311725139618,-1.096405267715454,0.0,0.0,True,True,0.704,0.9120714664459229,0.002,False,True,significant,5
income,climate,4492,-0.03057291731238365,-1.0232316255569458,0.0,0.0,True,True,0.7163333333333334,0.9772958755493164,0.007333333333333333,False,True,significant,5
income,climate,9460,0.030307291075587273,0.8649379014968872,0.0,0.0,True,True,0.7256666666666667,1.156152367591858,0.002,False,True,significant,5
income,climate,10466,-0.029500000178813934,-1.1997824907302856,0.0,0.0,True,True,0.7303333333333333,0.8334844708442688,0.0013333333333333333,False,True,significant,5
income,climate,5388,-0.02941145747900009,-0.9806395173072815,0.0,0.0,True,True,0.689,1.019742727279663,0.006666666666666667,False,True,significant,5
income,climate,7093,0.02904166653752327,1.110837697982788,0.0,0.0,True,True,0.701,0.9002215266227722,0.0013333333333333333,False,True,significant,5
income,climate,6365,0.028723958879709244,1.2013298273086548,0.0,0.0,True,True,0.7973333333333333,0.8324108719825745,0.0016666666666666668,False,True,significant,5
income,climate,8600,-0.02810416743159294,-1.1918362379074097,0.0,0.0,True,True,0.722,0.8390414714813232,0.0006666666666666666,False,True,significant,5
income,climate,14732,0.027927083894610405,0.9739328622817993,0.0,0.0,True,True,0.663,1.0267647504806519,0.004666666666666667,False,True,significant,5
income,climate,8840,0.021270833909511566,0.7779995203018188,1.1785805364737e-310,1.31723707017653e-310,True,True,0.6113333333333333,1.285347819328308,0.0036666666666666666,False,True,significant,5
income,climate,15341,0.016593750566244125,0.9384617805480957,0.0,0.0,True,True,0.6903333333333334,1.0655735731124878,0.0026666666666666666,False,True,significant,5
income,climate,2383,0.014088541269302368,0.6149227619171143,3.2916713177100467e-211,3.573814573513765e-211,True,True,0.6186666666666667,1.626220464706421,0.0013333333333333333,False,True,significant,5
income,health,5605,0.42938369512557983,0.6730645298957825,3.140161657837063e-148,3.588756180385215e-148,True,True,0.79,1.4857416152954102,0.0,False,True,significant,5
income,health,9271,0.1974305510520935,3.8413329124450684,0.0,0.0,True,True,1.0,0.2603262960910797,0.0011111111111111111,False,True,significant,5
income,health,6373,0.1558767408132553,0.40778687596321106,3.7370335238674114e-62,3.8575829923792633e-62,True,True,0.9888888888888889,2.452261447906494,0.058333333333333334,False,True,significant,5
income,health,11580,0.1528819501399994,0.4863142967224121,4.595026733227281e-85,4.9013618487757666e-85,True,True,0.9977777777777778,2.0562832355499268,0.03666666666666667,False,True,significant,5
income,health,15565,0.14489583671092987,2.0096628665924072,0.0,0.0,True,True,1.0,0.4975959062576294,0.0016666666666666668,False,True,significant,5
income,health,2659,-0.13034722208976746,-4.335322380065918,0.0,0.0,True,True,0.9994444444444445,0.23066334426403046,0.0044444444444444444,False,True,significant,5
income,health,13487,0.10392361134290695,1.0520750284194946,1.539300579291152e-293,2.141635588578994e-293,True,True,0.9972222222222222,0.9505026340484619,0.0033333333333333335,False,True,significant,5
income,health,2676,0.10104166716337204,3.567819118499756,0.0,0.0,True,True,0.9988888888888889,0.28028327226638794,0.0044444444444444444,False,True,significant,5
income,health,7205,0.07789930701255798,1.831139326095581,0.0,0.0,True,True,0.9288888888888889,0.546108067035675,0.0011111111111111111,False,True,significant,5
income,health,1212,0.07234375178813934,2.6799306869506836,0.0,0.0,True,True,0.9827777777777778,0.3731440007686615,0.0011111111111111111,False,True,significant,5
income,health,9577,0.07130208611488342,1.664054036140442,0.0,0.0,True,True,0.8994444444444445,0.6009420156478882,0.0016666666666666668,False,True,significant,5
income,health,15501,0.06847222149372101,0.3464309871196747,2.8680811727453643e-46,2.8680811727453643e-46,True,True,0.875,2.886577606201172,0.013888888888888888,False,True,significant,5
income,health,5551,0.06506944447755814,1.8304874897003174,0.0,0.0,True,True,0.9261111111111111,0.5463025569915771,0.0005555555555555556,False,True,significant,5
income,health,7203,-0.06180555373430252,-2.0539097785949707,0.0,0.0,True,True,0.9355555555555556,0.4868762791156769,0.002777777777777778,False,True,significant,5
income,health,11938,0.059583332389593124,2.183837413787842,0.0,0.0,True,True,0.9722222222222222,0.45790955424308777,0.0,False,True,significant,5
income,health,9703,-0.05739583447575569,-1.7919108867645264,0.0,0.0,True,True,0.9094444444444445,0.5580635070800781,0.002777777777777778,False,True,significant,5
income,health,13870,-0.0529513880610466,-1.9318910837173462,0.0,0.0,True,True,0.93,0.5176275372505188,0.006666666666666667,False,True,significant,5
income,health,1844,-0.045538194477558136,-1.2305742502212524,0.0,0.0,True,True,0.7961111111111111,0.8126286864280701,0.0011111111111111111,False,True,significant,5
income,health,9625,0.04389756917953491,2.155674934387207,0.0,0.0,True,True,0.9661111111111111,0.4638918340206146,0.0011111111111111111,False,True,significant,5
income,health,16288,-0.04263889044523239,-1.8906919956207275,0.0,0.0,True,True,0.9061111111111111,0.5289068818092346,0.0033333333333333335,False,True,significant,5
income,health,10952,-0.04157986119389534,-1.7598868608474731,0.0,0.0,True,True,0.8827777777777778,0.5682183504104614,0.0038888888888888888,False,True,significant,5
income,health,3958,0.0413411445915699,1.4918615818023682,0.0,0.0,True,True,0.8355555555555556,0.670303463935852,0.0033333333333333335,False,True,significant,5
income,health,8377,0.039114583283662796,1.249582052230835,0.0,0.0,True,True,0.7727777777777778,0.8002675771713257,0.0016666666666666668,False,True,significant,5
income,health,14732,0.038767360150814056,1.3175665140151978,0.0,0.0,True,True,0.7944444444444444,0.7589749097824097,0.0005555555555555556,False,True,significant,5
income,health,3478,0.03343750163912773,0.8487457036972046,2.6889376782518497e-214,3.3094617578484304e-214,True,True,0.6644444444444444,1.1782091856002808,0.0022222222222222222,False,True,significant,5
income,health,10466,-0.03328125178813934,-1.295705795288086,0.0,0.0,True,True,0.7677777777777778,0.7717801332473755,0.0,False,True,significant,5
income,health,9460,0.030868055298924446,0.8924754858016968,3.1260027082631854e-231,4.0012834665768773e-231,True,True,0.7361111111111112,1.1204789876937866,0.0016666666666666668,False,True,significant,5
income,health,7093,0.030520834028720856,1.0830239057540894,1.3104384077628594e-305,1.9968585261148334e-305,True,True,0.7083333333333334,0.9233406186103821,0.0033333333333333335,False,True,significant,5
income,health,14240,-0.028333334252238274,-0.5840862989425659,7.037526518076941e-117,7.76554650270559e-117,True,True,0.695,1.7120758295059204,0.0033333333333333335,False,True,significant,5
income,health,346,-0.027769098058342934,-1.0023345947265625,4.210222587641846e-274,5.613630116855795e-274,True,True,0.6766666666666666,0.9976708292961121,0.0022222222222222222,False,True,significant,5
income,health,6365,0.02690972201526165,1.0644761323928833,2.2357421066039867e-298,3.251988518696708e-298,True,True,0.7627777777777778,0.9394292235374451,0.0,False,True,significant,5
income,health,1633,-0.022083332762122154,-0.7945231795310974,1.6894547315121033e-193,2.0023167188291594e-193,True,True,0.6061111111111112,1.2586164474487305,0.0044444444444444444,False,True,significant,5
income,digital,15565,0.40142858028411865,0.6385307908058167,0.0,0.0,True,True,0.8652380952380953,1.5660951137542725,0.0,False,True,significant,5
income,digital,11580,0.26271578669548035,0.472652792930603,3.69841484334054e-186,3.817718547964428e-186,True,True,0.7735714285714286,2.115717887878418,0.0,False,True,significant,5
income,digital,9271,0.22410714626312256,3.0272216796875,0.0,0.0,True,True,1.0,0.33033591508865356,0.0,False,True,significant,5
income,digital,6365,0.13892485201358795,0.35417068004608154,6.213464735576411e-110,6.213464735576411e-110,True,True,0.8414285714285714,2.8234975337982178,0.060476190476190475,False,True,significant,5
